"";"Höhe";"Kurs";"Time";"Date";"Geschwindigkeit GPS";"Breitengrade";"Längengrad";"Satilite";"valid";"PWM1";"PWM2";"PWM3";"PWM4";"PWM5";"xDif";"yDif";"HDOP";"VOLT 1";"CAP 1";"RPM 1";"TEMP 1 ";"AMP 1";"VOLT 2";"AMP 2";"CAP 2";"RPM 2";"TEMP 2 ";"VOLT 3";"AMP 3";"CAP 3";"RPM 3";"TEMP 3";"VOLT 4";"AMP 4";"CAP 4";"RPM 4";"TEMP 4";"Trägheit";"Höhe";"rudder 1";"rudder 2";"rudder 3 ";"rudder 4";""
"0";"4m";"0";"19:14:34";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"137";"128";"25";"";"";"25.50";"11.20";"0";"0";"29";"0.00";"11.40";"0.00";"0";"0";"30";"11.90";"0.00";"0";"0";"30";"12.20";"0.00";"0";"0";"31";"";"";"";"";"";"";""
"500";"4m";"0";"19:14:34";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"137";"128";"25";"";"";"25.50";"11.20";"0";"0";"29";"0.00";"11.40";"0.00";"0";"40";"30";"11.90";"0.00";"0";"0";"30";"12.20";"0.00";"0";"0";"31";"";"";"";"";"";"";""
"1000";"4m";"0";"19:14:34";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"155";"128";"25";"";"";"25.50";"11.20";"0";"0";"29";"0.00";"11.40";"0.00";"0";"0";"30";"11.90";"0.00";"0";"0";"30";"12.20";"0.00";"0";"0";"31";"";"";"";"";"";"";""
"1500";"4m";"0";"19:14:34";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"158";"128";"25";"";"";"25.50";"11.20";"0";"1160";"29";"0.20";"11.40";"0.20";"0";"1250";"30";"11.90";"0.20";"0";"1770";"30";"12.20";"0.00";"0";"0";"31";"";"";"";"";"";"";""
"2000";"4m";"0";"19:14:34";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"164";"128";"25";"";"";"25.50";"11.20";"0";"2220";"29";"0.40";"11.40";"0.30";"0";"2320";"30";"11.90";"0.50";"0";"2420";"30";"12.20";"0.00";"0";"2420";"31";"";"";"";"";"";"";""
"2500";"4m";"0";"19:14:38";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"169";"128";"25";"";"";"25.50";"11.20";"0";"2740";"29";"0.60";"11.40";"0.50";"0";"2890";"30";"11.90";"0.70";"0";"2960";"30";"12.20";"0.00";"0";"3050";"31";"";"";"";"";"";"";""
"3000";"4m";"0";"19:14:38";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"176";"128";"25";"";"";"25.50";"11.20";"0";"3070";"29";"0.70";"11.40";"0.80";"0";"3200";"30";"11.90";"0.90";"0";"3290";"30";"12.20";"0.00";"0";"3460";"31";"";"";"";"";"";"";""
"3500";"4m";"0";"19:14:38";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"156";"128";"25";"";"";"25.50";"11.20";"0";"3070";"29";"0.70";"11.40";"0.80";"0";"3200";"30";"11.90";"1.00";"0";"3290";"30";"12.20";"0.00";"0";"3460";"31";"";"";"";"";"";"";""
"4000";"4m";"0";"19:14:38";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"178";"128";"25";"";"";"25.50";"11.20";"0";"3070";"29";"0.70";"11.40";"0.80";"0";"3200";"30";"11.90";"1.00";"0";"3290";"30";"12.20";"0.00";"0";"3460";"31";"";"";"";"";"";"";""
"4500";"4m";"0";"19:14:38";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"181";"128";"25";"";"";"25.50";"11.20";"0";"3020";"29";"0.80";"11.40";"0.80";"0";"3810";"30";"11.90";"1.00";"0";"3460";"30";"12.20";"0.00";"0";"3480";"31";"";"";"";"";"";"";""
"5000";"4m";"0";"19:14:38";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"172";"128";"25";"";"";"25.50";"11.20";"0";"3020";"29";"0.90";"11.40";"1.00";"0";"4120";"30";"11.90";"1.10";"0";"3350";"30";"12.20";"0.00";"0";"3480";"31";"";"";"";"";"";"";""
"5500";"4m";"0";"19:14:38";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"185";"126";"25";"";"";"25.50";"11.20";"0";"4850";"29";"1.20";"11.40";"1.20";"0";"4860";"30";"11.90";"1.50";"0";"5040";"30";"12.20";"0.10";"0";"4500";"31";"";"";"";"";"";"";""
"6000";"4m";"0";"19:14:38";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"192";"126";"25";"";"";"25.50";"11.20";"0";"4460";"29";"1.20";"11.40";"1.20";"0";"4860";"30";"11.90";"1.70";"0";"5040";"30";"12.20";"0.10";"0";"5140";"31";"";"";"";"";"";"";""
"6500";"4m";"0";"19:14:38";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"180";"128";"25";"";"";"25.50";"11.20";"0";"4460";"29";"1.20";"11.40";"1.10";"0";"4720";"30";"11.90";"1.70";"0";"5040";"30";"12.20";"0.10";"0";"5140";"31";"";"";"";"";"";"";""
"7000";"4m";"0";"19:14:38";"30:6:2017";"0.00";"N0`0'0''";"E0`0'0''";"0";"2";"2";"127";"109";"138";"25";"";"";"25.50";"11.20";"0";"4270";"29";"0.80";"11.40";"0.80";"0";"4290";"30";"11.90";"1.70";"0";"5040";"30";"12.20";"0.10";"0";"5140";"31";"";"";"";"";"";"";""
