"";"Höhe";"Kurs";"Time";"Date";"Geschwindigkeit GPS";"Breitengrade";"Längengrad";"Satilite";"valid";"PWM1";"PWM2";"PWM3";"PWM4";"PWM5";"xDif";"yDif";"HDOP";"VOLT 1";"CAP 1";"RPM 1";"TEMP 1 ";"AMP 1";"VOLT 2";"AMP 2";"CAP 2";"RPM 2";"TEMP 2 ";"VOLT 3";"AMP 3";"CAP 3";"RPM 3";"TEMP 3";"VOLT 4";"AMP 4";"CAP 4";"RPM 4";"TEMP 4";"Trägheit";"Höhe";"rudder 1";"rudder 2";"rudder 3 ";"rudder 4";"AKKU V 1";"AKKU V 2";"AKKU V 3";"Akku V 4";""
"0";"4m";"0";"22:9:24";"2:7:2017";"4.60";"N40º51'21''";"E9º40'4''";"9";"1";"0";"127";"229";"125";"127";"";"";"1.70";"11.20";"240";"6110";"36";"8.50";"11.40";"10.30";"290";"6040";"37";"11.90";"11.40";"360";"6040";"39";"12.00";"1.30";"350";"6240";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"500";"4m";"0";"22:9:24";"2:7:2017";"4.60";"N40º51'21''";"E9º40'4''";"9";"1";"0";"127";"229";"125";"127";"";"";"1.70";"11.20";"240";"6110";"36";"8.50";"11.80";"10.10";"300";"6030";"37";"11.60";"10.50";"360";"6580";"39";"11.90";"1.30";"350";"6250";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"1000";"4m";"0";"22:9:24";"2:7:2017";"4.60";"N40º51'21''";"E9º40'4''";"9";"1";"0";"127";"163";"126";"127";"";"";"1.70";"11.20";"240";"6110";"36";"8.50";"11.80";"10.10";"300";"6030";"37";"11.90";"7.70";"360";"5050";"39";"11.90";"1.30";"350";"6250";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"1500";"4m";"0";"22:9:24";"2:7:2017";"4.60";"N40º51'21''";"E9º40'4''";"9";"1";"0";"127";"179";"126";"127";"";"";"1.70";"11.20";"250";"3660";"36";"4.80";"11.50";"5.20";"300";"3110";"37";"11.90";"7.70";"360";"5050";"39";"12.30";"0.80";"350";"3730";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"2000";"4m";"0";"22:9:24";"2:7:2017";"4.60";"N40º51'21''";"E9º40'4''";"9";"1";"0";"127";"184";"126";"127";"";"";"1.70";"11.20";"250";"2550";"36";"2.00";"11.50";"1.90";"300";"2920";"37";"11.90";"1.40";"360";"2610";"39";"12.40";"0.20";"350";"2350";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"2500";"4m";"0";"22:9:24";"2:7:2017";"4.60";"N40º51'21''";"E9º40'4''";"9";"1";"0";"127";"184";"126";"127";"";"";"1.70";"11.20";"250";"3890";"36";"2.10";"11.50";"2.50";"300";"3560";"37";"11.90";"2.50";"360";"3360";"39";"12.40";"0.20";"350";"3100";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"3000";"4m";"0";"22:9:56";"2:7:2017";"5.20";"N40º51'21''";"E9º40'4''";"9";"1";"0";"127";"184";"126";"127";"";"";"1.50";"11.20";"250";"3890";"36";"2.10";"11.50";"2.50";"300";"3560";"37";"11.90";"3.00";"360";"3360";"39";"12.30";"0.20";"350";"3460";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"3500";"4m";"0";"22:9:56";"2:7:2017";"5.20";"N40º51'21''";"E9º40'4''";"9";"1";"0";"110";"189";"126";"127";"";"";"1.50";"11.20";"250";"3980";"36";"2.80";"11.40";"3.60";"300";"3950";"37";"11.90";"3.30";"370";"3690";"39";"12.30";"0.30";"350";"3680";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"4000";"4m";"0";"22:9:56";"2:7:2017";"5.20";"N40º51'21''";"E9º40'4''";"9";"1";"0";"45";"187";"126";"127";"";"";"1.50";"11.20";"250";"3980";"36";"2.80";"11.40";"3.60";"300";"3950";"37";"11.90";"3.90";"370";"3630";"39";"12.40";"0.30";"350";"3830";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"4500";"4m";"0";"22:9:56";"2:7:2017";"5.20";"N40º51'21''";"E9º40'4''";"9";"1";"0";"25";"167";"126";"127";"";"";"1.50";"11.20";"250";"3980";"36";"2.80";"11.40";"3.60";"300";"3950";"37";"11.90";"3.90";"370";"3630";"39";"12.40";"0.30";"350";"3830";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"5000";"4m";"0";"22:9:56";"2:7:2017";"5.20";"N40º51'21''";"E9º40'4''";"9";"1";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"250";"6080";"36";"6.90";"11.40";"8.20";"300";"5780";"37";"11.90";"3.90";"370";"3630";"39";"12.40";"0.30";"350";"3830";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"5500";"4m";"0";"22:9:56";"2:7:2017";"5.20";"N40º51'21''";"E9º40'4''";"9";"1";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"250";"6080";"36";"8.30";"11.40";"10.40";"300";"6010";"37";"11.90";"3.90";"370";"3630";"39";"12.40";"0.30";"350";"3830";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"6000";"4m";"0";"22:9:56";"2:7:2017";"5.20";"N40º51'21''";"E9º40'4''";"9";"1";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"250";"6080";"36";"8.30";"11.40";"10.40";"300";"6010";"37";"11.90";"1.30";"370";"0";"39";"12.10";"0.70";"360";"5370";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"6500";"4m";"0";"22:9:56";"2:7:2017";"5.20";"N40º51'21''";"E9º40'4''";"9";"1";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"250";"6050";"36";"9.60";"11.30";"11.60";"310";"5970";"37";"11.90";"1.30";"370";"0";"39";"12.10";"0.70";"360";"5370";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"7000";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"260";"6050";"36";"9.90";"11.30";"12.00";"310";"5970";"37";"10.90";"14.30";"370";"5880";"39";"12.10";"1.10";"360";"6600";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"7500";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"260";"6050";"36";"9.90";"11.30";"12.00";"310";"5970";"37";"11.70";"14.30";"370";"5760";"39";"12.10";"1.10";"360";"6450";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"8000";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"260";"6050";"36";"9.90";"11.30";"12.00";"310";"5970";"37";"11.60";"14.30";"370";"5760";"39";"12.10";"1.10";"360";"6450";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"8500";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"260";"6050";"36";"10.00";"11.30";"12.00";"310";"5970";"37";"10.80";"14.70";"380";"5960";"39";"12.20";"1.30";"360";"6310";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"9000";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"260";"6050";"36";"10.00";"11.30";"11.60";"310";"5960";"37";"10.80";"14.70";"380";"5960";"39";"12.20";"1.30";"360";"6310";"39";"";"";"";"";"";"";"22.20";"21.20";"21.60";"21.60";""
"9500";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"260";"6050";"36";"10.00";"11.30";"11.60";"310";"5960";"37";"10.80";"14.70";"380";"5960";"39";"12.20";"1.30";"360";"6310";"39";"";"";"";"";"";"";"22.00";"21.30";"21.70";"21.30";""
"10000";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"260";"6050";"36";"10.00";"11.30";"11.60";"310";"5960";"37";"11.70";"14.00";"380";"6010";"39";"12.00";"1.20";"370";"6290";"39";"";"";"";"";"";"";"22.00";"21.30";"21.70";"21.30";""
"10500";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"260";"6030";"36";"10.30";"11.30";"12.20";"320";"5920";"37";"11.70";"14.00";"380";"6010";"39";"12.00";"1.20";"370";"6290";"39";"";"";"";"";"";"";"22.00";"21.30";"21.70";"21.30";""
"11000";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"260";"6030";"36";"10.30";"11.30";"12.20";"320";"5920";"37";"11.70";"14.00";"380";"6010";"39";"12.00";"1.20";"370";"6290";"39";"";"";"";"";"";"";"22.00";"21.30";"21.70";"21.30";""
"11500";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"25";"128";"126";"127";"";"";"1.50";"11.20";"270";"6020";"36";"10.30";"11.30";"12.30";"320";"5920";"37";"11.70";"14.00";"380";"6010";"39";"12.00";"1.20";"370";"6290";"39";"";"";"";"";"";"";"22.00";"21.30";"21.70";"21.30";""
"12000";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"98";"159";"126";"127";"";"";"1.50";"11.20";"270";"6020";"36";"10.30";"11.30";"12.40";"320";"5930";"37";"11.10";"14.30";"390";"5860";"39";"12.10";"1.30";"380";"6280";"39";"";"";"";"";"";"";"22.00";"21.30";"21.70";"21.30";""
"12500";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"98";"159";"126";"127";"";"";"1.50";"11.20";"270";"5320";"36";"6.30";"11.50";"6.70";"330";"4440";"37";"11.90";"7.40";"390";"0";"39";"12.30";"0.80";"380";"0";"39";"";"";"";"";"";"";"22.00";"21.30";"21.70";"21.30";""
"13000";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"98";"159";"126";"127";"";"";"1.50";"11.20";"270";"5320";"36";"6.30";"11.50";"6.70";"330";"4440";"37";"11.90";"7.40";"390";"0";"39";"12.30";"0.80";"380";"0";"39";"";"";"";"";"";"";"22.00";"21.30";"21.70";"21.30";""
"13500";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"126";"199";"126";"127";"";"";"1.50";"11.20";"270";"3890";"36";"2.90";"11.40";"3.40";"330";"4050";"37";"11.90";"7.40";"390";"0";"39";"12.30";"0.80";"380";"0";"39";"";"";"";"";"";"";"22.50";"21.70";"22.10";"22.00";""
"14000";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"126";"199";"126";"127";"";"";"1.50";"11.20";"270";"4310";"36";"4.10";"11.40";"5.20";"330";"4520";"37";"11.90";"2.90";"390";"4100";"39";"12.30";"0.30";"380";"1530";"40";"";"";"";"";"";"";"22.50";"21.70";"22.10";"22.00";""
"14500";"4m";"0";"22:10:0";"2:7:2017";"3.50";"N40º51'21''";"E9º40'4''";"62";"117";"0";"126";"199";"126";"127";"";"";"1.50";"11.20";"270";"4940";"36";"5.60";"11.40";"7.10";"330";"5130";"37";"11.90";"5.50";"390";"4240";"39";"12.40";"0.50";"380";"3890";"39";"";"";"";"";"";"";"22.50";"21.70";"22.10";"22.00";""
"15000";"4m";"0";"22:10:7";"2:7:2017";"1.00";"N40º51'21''";"E9º40'4''";"9";"1";"0";"122";"196";"126";"127";"";"";"1.50";"11.20";"270";"5500";"36";"6.80";"11.40";"7.80";"330";"5630";"37";"11.90";"5.50";"390";"4240";"39";"12.40";"0.50";"380";"3890";"39";"";"";"";"";"";"";"22.50";"21.70";"22.10";"22.00";""
"15500";"4m";"0";"22:10:7";"2:7:2017";"1.00";"N40º51'21''";"E9º40'4''";"9";"1";"0";"127";"196";"126";"127";"";"";"1.50";"11.20";"270";"5500";"36";"6.80";"11.40";"8.30";"330";"5630";"37";"11.90";"5.50";"390";"4240";"39";"12.40";"0.50";"380";"3890";"39";"";"";"";"";"";"";"22.50";"21.70";"22.10";"22.00";""
"16000";"4m";"0";"22:10:7";"2:7:2017";"1.00";"N40º51'21''";"E9º40'4''";"9";"1";"0";"127";"170";"126";"127";"";"";"1.50";"11.20";"280";"4740";"36";"5.20";"11.50";"6.10";"330";"4560";"37";"11.90";"5.50";"390";"4240";"39";"12.40";"0.50";"380";"3890";"39";"";"";"";"";"";"";"22.50";"21.70";"22.10";"22.00";""
