"";"Höhe";"Kurs";"Time";"Date";"Geschwindigkeit GPS";"Breitengrade";"Längengrad";"Satilite";"valid";"PWM1";"PWM2";"PWM3";"PWM4";"PWM5";"xDif";"yDif";"HDOP";"VOLT 1";"CAP 1";"RPM 1";"TEMP 1 ";"AMP 1";"VOLT 2";"AMP 2";"CAP 2";"RPM 2";"TEMP 2 ";"VOLT 3";"AMP 3";"CAP 3";"RPM 3";"TEMP 3";"VOLT 4";"AMP 4";"CAP 4";"RPM 4";"TEMP 4";"Trägheit";"Höhe";"rudder 1";"rudder 2";"rudder 3 ";"rudder 4";"AKKU V 1";"AKKU V 2";"AKKU V 3";"Akku V 4";"Akku V 5";"Akku V 6";""
"0";"4m";"243";"24:42:32";"2:7:2017";"0.60";"N40º51'21''";"E9º40'3''";"8";"1";"0";"127";"132";"127";"126";"";"";"1.10";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.10";"22.20";"22.30";"10.00";"10.00";""
"500";"4m";"243";"24:42:32";"2:7:2017";"0.60";"N40º51'21''";"E9º40'3''";"8";"1";"0";"127";"132";"127";"126";"";"";"1.10";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.10";"22.20";"22.30";"10.00";"10.00";""
"1000";"4m";"243";"24:42:32";"2:7:2017";"0.60";"N40º51'21''";"E9º40'3''";"8";"1";"0";"127";"131";"127";"126";"";"";"1.10";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.10";"22.20";"22.30";"10.00";"10.00";""
"1500";"4m";"243";"24:42:33";"2:7:2017";"0.60";"N40º51'21''";"E9º40'3''";"9";"1";"0";"121";"130";"126";"126";"";"";"1.10";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.00";"22.20";"22.40";"10.00";"10.00";""
"2000";"4m";"243";"24:42:35";"2:7:2017";"0.20";"N40º51'21''";"E9º40'3''";"9";"1";"0";"121";"130";"126";"126";"";"";"0.90";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.00";"22.20";"22.40";"22.20";"22.40";""
"2500";"4m";"243";"24:42:35";"2:7:2017";"0.20";"N40º51'21''";"E9º40'3''";"9";"1";"0";"127";"130";"127";"126";"";"";"0.90";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.00";"22.20";"22.40";"10.00";"10.00";""
"3000";"4m";"243";"24:42:35";"2:7:2017";"0.20";"N40º51'21''";"E9º40'3''";"9";"1";"0";"127";"130";"127";"126";"";"";"0.90";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.00";"22.20";"22.40";"23.00";"22.70";""
"3500";"4m";"243";"24:42:35";"2:7:2017";"0.20";"N40º51'21''";"E9º40'3''";"9";"1";"0";"127";"130";"127";"126";"";"";"0.90";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.00";"22.20";"22.40";"10.00";"10.00";""
"4000";"4m";"243";"24:42:35";"2:7:2017";"0.20";"N40º51'21''";"E9º40'3''";"9";"1";"0";"127";"130";"127";"126";"";"";"0.90";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.00";"22.20";"22.40";"10.00";"10.00";""
"4500";"4m";"243";"24:42:35";"2:7:2017";"0.20";"N40º51'21''";"E9º40'3''";"9";"1";"0";"127";"130";"127";"126";"";"";"0.90";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.00";"22.20";"22.40";"10.00";"10.00";""
"5000";"4m";"243";"24:42:35";"2:7:2017";"0.20";"N40º51'21''";"E9º40'3''";"9";"1";"0";"127";"130";"127";"126";"";"";"0.90";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.00";"22.20";"22.40";"10.00";"10.00";""
"5500";"4m";"243";"24:42:35";"2:7:2017";"0.20";"N40º51'21''";"E9º40'3''";"9";"1";"0";"127";"130";"127";"126";"";"";"0.90";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.10";"22.30";"22.40";"10.00";"10.00";""
"6000";"4m";"243";"24:42:35";"2:7:2017";"0.20";"N40º51'21''";"E9º40'3''";"9";"1";"0";"127";"130";"127";"126";"";"";"0.90";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.10";"22.30";"22.40";"10.00";"10.00";""
"6500";"4m";"243";"24:42:39";"2:7:2017";"0.60";"N40º51'21''";"E9º40'3''";"9";"1";"0";"127";"130";"127";"126";"";"";"0.90";"0.00";"0";"0";"0";"0.00";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"0.00";"0.00";"0";"0";"0";"";"";"";"";"";"";"22.40";"22.10";"22.20";"22.40";"10.00";"10.00";""
